Star,IM,Max,SNR,X,Y,Sky,Air,B-V,V-mag,estimate,active
105,-10.171,27036,285,1078.23,1233.389,381,1.148,0.25,10.513,20.684,TRUE
108,-9.703,17891,509,996.259,1327.924,395,1.147,0.626,10.863,20.566,TRUE
110,-9.436,15723,395,1175.755,1280.627,394,1.148,1.962,11.083,20.519,TRUE
110_1,-9.711,17058,172,1089.907,1225.314,384,1.148,0.348,11.072,20.783,TRUE
111,-9.449,13606,164,1013.427,1186.007,423,1.148,0.384,11.186,20.635,TRUE
112,-9.265,12743,222,1055.434,1094.264,415,1.148,0.376,11.292,20.557,TRUE
112_1,-9.324,12899,95,1040.94,1230.189,442,1.148,0.335,11.264,20.588,TRUE
113,-9.24,11932,310,1183.488,1263.868,382,1.148,0.319,11.344,20.584,TRUE
113_1,-9.39,14094,123,1035.617,1182.36,426,1.148,0.95,11.319,20.709,TRUE
113_2,-9.282,11137,413,947.126,1155.988,400,1.148,0.595,11.323,20.605,TRUE
114,-9.135,10727,373,1193.452,1201.253,404,1.148,0.363,11.446,20.581,TRUE
114_1,-9.127,11211,344,1172.518,1267.299,402,1.148,1.61,11.415,20.542,TRUE
114_2,-9.2,11829,162,1125.944,1227.561,437,1.148,0.412,11.42,20.62,TRUE
114_3,-9.215,12834,150,1126.644,1137.405,403,1.148,0.331,11.403,20.618,TRUE
114_4,-9.109,12627,167,1113.811,1111.351,432,1.148,1.198,11.455,20.564,TRUE
114_5,-9.312,10968,131,1100.834,1229.787,404,1.148,1.561,11.425,20.737,TRUE
114_6,-9.423,11004,424,1099.506,1073.783,400,1.148,0.314,11.414,20.837,TRUE
114_7,-9.16,12172,147,1048.015,1110.964,425,1.148,0.332,11.458,20.618,TRUE
114_8,-9.193,11857,403,1036.426,1363.939,391,1.147,0.314,11.413,20.606,TRUE
114_9,-9.071,10617,293,994.426,1093.124,405,1.148,1.704,11.473,20.544,TRUE
115,-9.026,9265,109,1121.288,1207.87,412,1.148,1.702,11.587,20.613,TRUE
115_1,-9.073,10179,132,1120.201,1246.745,414,1.148,0.416,11.519,20.592,TRUE
115_2,-9.042,9328,167,1074.082,1119.882,410,1.148,0.433,11.565,20.607,TRUE
115_3,-9.181,9343,166,1031.165,1224.679,450,1.148,0.309,11.562,20.743,TRUE
115_4,-9.009,10506,377,813.629,1107.461,385,1.148,1.661,11.561,20.57,TRUE
116,-8.933,9548,358,1293.25,977.524,391,1.149,1.484,11.627,20.56,TRUE
116_1,-8.878,9208,314,1189.708,998.629,385,1.149,0.375,11.698,20.576,TRUE
116_2,-8.981,8770,133,1043.6,1129.117,387,1.148,0.361,11.66,20.641,TRUE
116_3,-9.127,9854,202,1026.086,1246.414,401,1.148,1.696,11.668,20.795,TRUE
116_4,-9.023,9579,320,1015.249,1125.844,406,1.148,0.388,11.63,20.653,TRUE
116_5,-8.936,9089,350,932.057,978.636,392,1.148,0.419,11.63,20.566,TRUE
117,-8.903,9154,340,1210.931,1238.194,394,1.148,0.4,11.796,20.699,TRUE
117_1,-9.03,7204,323,1183.827,1176.114,404,1.148,1.451,11.728,20.758,TRUE
117_2,-8.836,8178,321,1143.094,1055.981,394,1.148,0.304,11.754,20.59,TRUE
117_3,-8.895,8354,65,1056.502,1192.208,463,1.148,0.389,11.717,20.612,TRUE
117_4,-8.903,8646,97,1055.229,1231.761,422,1.148,0.39,11.732,20.635,TRUE
117_5,-8.828,8625,304,1047.939,1007.653,387,1.148,1.497,11.713,20.541,TRUE
117_6,-8.814,8929,339,1017.744,1420.255,384,1.147,0.46,11.775,20.589,TRUE
117_7,-8.749,7340,300,940.067,1265.762,393,1.147,1.508,11.789,20.538,TRUE
118,-8.774,7904,289,1190.514,1110.587,394,1.148,0.312,11.814,20.588,TRUE
118_1,-9.022,8071,310,1179.702,1152.67,403,1.148,0.284,11.802,20.824,TRUE
118_10,-8.669,7702,307,855.554,1440.847,382,1.147,1.702,11.896,20.565,TRUE
118_2,-8.756,7741,310,1153.423,1056.763,393,1.148,1.207,11.82,20.576,TRUE
118_3,-9.096,7544,202,1145.224,1137.229,399,1.148,0.322,11.83,20.926,TRUE
118_4,-8.708,8103,265,1131.803,1007.545,389,1.149,1.393,11.856,20.564,TRUE
118_5,-8.893,7614,71,1082.469,1170.896,404,1.148,1.414,11.882,20.775,TRUE
118_6,-8.662,7267,285,1076.297,1381.555,390,1.147,1.561,11.868,20.53,TRUE
118_7,-8.796,8766,72,1058.859,1207.888,471,1.148,0.355,11.816,20.612,TRUE
118_8,-8.827,6943,126,1015.263,1143.256,393,1.148,0.404,11.851,20.678,TRUE
118_9,-8.837,7759,228,999.935,1241.267,399,1.148,0.369,11.826,20.663,TRUE
119,-8.616,7259,286,1229.654,1139.685,392,1.148,0.339,11.955,20.571,TRUE
119_1,-8.726,7371,140,1122.399,1190.896,398,1.148,0.391,11.915,20.641,TRUE
119_2,-9.084,11829,146,1121.446,1224.134,436,1.148,1.322,11.977,21.061,TRUE
119_3,-8.645,6281,77,1116.375,1230.564,445,1.148,0.367,11.99,20.635,TRUE
119_4,-8.917,7168,88,1076.092,1177.379,427,1.148,0.345,11.973,20.89,TRUE
119_5,-8.821,7345,108,1057.513,1132.017,413,1.148,0.36,11.926,20.747,TRUE
119_6,-8.604,6826,237,971.207,1288.459,395,1.147,0.337,11.948,20.552,TRUE
119_7,-8.649,7104,255,954.238,1203.518,398,1.148,1.473,11.92,20.569,TRUE
119_8,-8.568,6458,269,944.244,1282.444,395,1.147,1.54,11.958,20.526,TRUE
119_9,-8.648,7870,305,903.548,1020.433,391,1.148,0.436,11.937,20.585,TRUE
120,-8.737,6543,79,1103.937,1235.032,421,1.148,0.454,12.014,20.751,TRUE
120_1,-8.576,6960,47,1080.789,1187.169,379,1.148,0.415,12.072,20.648,TRUE
120_2,-8.679,6486,261,958.455,1193.479,394,1.148,0.416,12.021,20.7,TRUE
120_3,-8.582,6881,275,945.971,1236.616,395,1.147,0.329,12.003,20.585,TRUE
120_4,-8.521,6617,233,942.901,1116.878,394,1.148,0.394,12.049,20.57,TRUE
120_5,-8.549,7203,294,851.729,1411.997,382,1.147,0.264,12.052,20.601,TRUE
121,-8.532,5940,65,1081.823,1206.334,419,1.148,0.382,12.166,20.698,TRUE
121_1,-8.386,5999,142,1077.642,1037.314,389,1.148,0.35,12.198,20.584,TRUE
121_2,-8.438,6402,109,1067.64,1096.113,422,1.148,0.371,12.137,20.575,TRUE
121_3,-8.543,5840,229,907.33,1377.806,393,1.147,0.94,12.114,20.657,TRUE
122,-8.838,11004,278,1104.232,1073.339,398,1.148,0.35,12.231,21.069,TRUE
122_1,-8.591,4880,32,1070.683,1171.856,372,1.148,0.365,12.286,20.877,TRUE
122_2,-8.332,6266,171,947.814,1100.045,399,1.148,0.446,12.269,20.601,TRUE
122_3,-8.306,6138,253,827.646,1061.488,390,1.148,0.434,12.252,20.558,TRUE
123,-8.195,4979,234,1319.816,1058.813,389,1.149,0.328,12.369,20.564,TRUE
123_1,-8.431,5254,267,1282.717,1051.906,391,1.149,0.312,12.373,20.804,TRUE
123_2,-8.198,5236,223,1277.713,1365.275,387,1.147,0.364,12.391,20.589,TRUE
123_3,-8.261,5424,120,1147.904,1151.706,398,1.148,0.377,12.336,20.597,TRUE
123_4,-8.335,4345,74,1112.367,1202.73,419,1.148,0.432,12.351,20.686,TRUE
123_5,-8.196,4752,231,1091.451,991.814,391,1.149,0.407,12.382,20.578,TRUE
123_6,-8.31,5601,122,1085.759,1042.67,399,1.148,0.369,12.301,20.611,TRUE
123_7,-8.269,4436,212,880.552,1130.841,393,1.148,0.456,12.314,20.583,TRUE
124,-8.38,4396,25,1077.38,1163.435,326,1.148,0.336,12.493,20.873,TRUE
124_1,-8.053,4666,25,1065.54,1193.645,456,1.148,0.445,12.494,20.547,TRUE
124_2,-8.168,4570,223,1034.005,948.79,391,1.149,0.334,12.407,20.575,TRUE
125,-8.057,4640,209,1211.93,1256.123,395,1.148,0.393,12.51,20.567,TRUE
125_1,-7.988,4436,156,1159.909,1178.499,403,1.148,0.34,12.594,20.582,TRUE
125_2,-8.381,4236,29,1065.007,1176.549,401,1.148,0.458,12.545,20.926,TRUE
125_3,-8.097,4493,68,1014.901,1211.889,414,1.148,0.324,12.534,20.631,TRUE
125_4,-8.015,4859,196,982.697,948.206,391,1.149,0.404,12.596,20.611,TRUE
125_5,-8.055,5008,205,909.697,982.23,393,1.148,0.34,12.55,20.605,TRUE
125_6,-8.013,4148,212,809.25,1014.799,388,1.148,0.502,12.552,20.565,TRUE
126,-7.936,4278,198,1269.608,1352.312,386,1.148,0.388,12.641,20.577,TRUE
126_1,-8.024,4208,136,1173.912,1224.015,399,1.148,0.408,12.6,20.624,TRUE
126_10,-7.974,4009,195,944.994,952.828,395,1.148,0.352,12.602,20.576,TRUE
126_2,-7.916,3969,201,1140.441,1406.757,385,1.147,0.422,12.663,20.579,TRUE
126_3,-7.942,4018,110,1137.732,1184.603,394,1.148,0.395,12.663,20.605,TRUE
126_4,-8.063,3670,77,1129.984,1145.415,412,1.148,0.402,12.683,20.746,TRUE
126_5,-8.057,4361,99,1122.134,1147.917,415,1.148,0.395,12.606,20.663,TRUE
126_6,-8.017,4075,21,1111.888,1217.207,393,1.148,0.418,12.621,20.638,TRUE
126_7,-8.3,4730,149,1095.576,1106.3,409,1.148,0.345,12.604,20.904,TRUE
126_8,-8.46,4006,130,1091.414,1129.07,401,1.148,0.351,12.602,21.062,TRUE
126_9,-7.97,3915,52,1070.431,1106.993,394,1.148,0.418,12.67,20.64,TRUE
127,-8.413,3502,245,1237.234,1196.962,391,1.148,0.395,12.717,21.13,TRUE
127_1,-7.875,3951,143,1185.798,1143.375,395,1.148,0.305,12.719,20.594,TRUE
127_2,-7.99,3428,116,1119.914,1275.036,391,1.148,0.509,12.747,20.737,TRUE
127_3,-7.804,3469,65,1003.483,1111.774,404,1.148,0.412,12.795,20.599,TRUE
127_4,-7.969,3988,197,936.609,1025.269,390,1.148,0.373,12.797,20.766,TRUE
127_5,-7.93,3664,209,858.309,988.621,387,1.148,0.363,12.714,20.644,TRUE
128,-8.088,3473,196,1241.009,1198.729,392,1.148,0.398,12.81,20.898,TRUE
128_1,-7.902,3567,146,1200.47,1169.289,404,1.148,0.297,12.861,20.763,TRUE
128_10,-7.71,3359,22,1054.463,1166.817,432,1.148,0.417,12.858,20.568,TRUE
128_11,-7.732,3398,163,1017.44,1300.062,389,1.147,0.379,12.847,20.579,TRUE
128_12,-7.913,3705,87,1017.482,1106.027,399,1.148,0.443,12.882,20.795,TRUE
128_13,-7.986,3075,99,1016.903,1150.217,414,1.148,0.383,12.898,20.884,TRUE
128_14,-7.74,3167,109,983.42,1318.767,388,1.147,0.377,12.853,20.593,TRUE
128_15,-7.684,3322,169,957.849,1019.631,388,1.148,0.399,12.883,20.567,TRUE
128_16,-8.205,3170,204,939.471,1079.921,395,1.148,0.886,12.877,21.082,TRUE
128_2,-7.826,3214,132,1166.663,1204.603,404,1.148,0.362,12.856,20.682,TRUE
128_3,-7.813,2649,118,1130.53,1272.753,385,1.148,0.416,12.837,20.65,TRUE
128_4,-7.85,3366,170,1128.411,951.581,388,1.149,0.374,12.854,20.704,TRUE
128_5,-7.833,3625,55,1098.795,1200.831,403,1.148,0.406,12.815,20.648,TRUE
128_6,-7.831,3502,184,1090.39,1322.151,390,1.147,0.338,12.884,20.715,TRUE
128_7,-7.966,3503,101,1078.089,1049.395,392,1.148,0.304,12.807,20.773,TRUE
128_8,-7.798,3251,28,1071.404,1146.008,372,1.148,0.385,12.888,20.686,TRUE
128_9,-7.943,3104,30,1059.298,1114.964,403,1.148,0.387,12.813,20.756,TRUE
129,-7.663,2930,173,1283.198,1264.712,384,1.148,0.385,12.91,20.573,TRUE
129_1,-7.649,3191,163,1136.909,1332.148,393,1.147,0.391,12.945,20.594,TRUE
129_10,-7.735,3221,97,983.752,1291.005,386,1.147,0.408,12.937,20.672,TRUE
129_11,-7.719,3337,135,970.48,1166.096,392,1.148,0.4,12.903,20.622,TRUE
129_12,-7.711,2909,140,968.279,1311.657,391,1.147,0.387,12.919,20.63,TRUE
129_13,-7.693,2681,94,964.475,1236.73,384,1.147,0.413,12.946,20.639,TRUE
129_14,-7.599,2880,148,892.153,1414.42,385,1.147,0.361,12.967,20.566,TRUE
129_15,-7.645,2907,161,818.116,1075.901,388,1.148,1.429,12.999,20.644,TRUE
129_2,-7.698,2799,43,1132.185,1113.249,418,1.148,0.417,12.949,20.647,TRUE
129_3,-7.64,2981,176,1127.215,1452.952,379,1.147,0.7,12.946,20.586,TRUE
129_4,-7.613,3169,74,1082.477,1090.34,400,1.148,0.408,12.971,20.584,TRUE
129_5,-7.651,2985,110,1054.266,1044.704,393,1.148,0.435,12.957,20.608,TRUE
129_6,-7.628,3085,161,1049.433,1347.368,387,1.147,0.469,12.944,20.572,TRUE
129_7,-7.626,2893,58,1043.316,1249.917,388,1.148,0.367,12.98,20.606,TRUE
129_8,-7.602,2800,43,1041.056,1095.694,419,1.148,0.45,12.995,20.597,TRUE
129_9,-7.721,2973,41,997.521,1183.939,413,1.148,0.323,12.938,20.659,TRUE
130,-7.498,3094,139,1225.818,1070.313,393,1.148,0.306,13.097,20.595,TRUE
130_1,-8.083,3428,126,1118.379,1270.319,400,1.148,0.428,13.096,21.179,TRUE
130_2,-8.582,4396,29,1074.722,1161.069,347,1.148,0.404,13.024,21.606,TRUE
130_3,-7.582,2680,94,1020.534,1095.804,406,1.148,0.467,13.033,20.615,TRUE
130_4,-7.65,2871,58,992.086,1190.705,386,1.148,0.388,13.034,20.684,TRUE
130_5,-7.51,3045,158,960.877,1339.174,390,1.147,0.42,13.079,20.589,TRUE
130_6,-7.505,2861,129,910.241,1084.91,391,1.148,0.387,13.07,20.575,TRUE
130_7,-7.463,2770,116,899.344,1076.14,394,1.148,1.545,13.063,20.526,TRUE
130_8,-7.536,3206,148,836.699,1016.175,389,1.148,0.399,13.068,20.604,TRUE
130_9,-7.52,3046,156,810.518,1131.322,387,1.148,1.722,13.002,20.522,TRUE
131,-7.448,2514,149,1262.933,1170.721,386,1.148,0.439,13.163,20.611,TRUE
131_1,-7.405,2595,144,1189.407,1340.915,387,1.147,0.379,13.155,20.56,TRUE
131_2,-7.538,2608,94,1173.56,1231.843,392,1.148,0.391,13.14,20.678,TRUE
131_3,-7.72,3627,75,1098.586,1109.956,405,1.148,0.38,13.154,20.874,TRUE
131_4,-7.609,2530,88,996.71,1116.771,400,1.148,0.403,13.19,20.799,TRUE
131_5,-7.493,2595,102,972.295,1077.782,398,1.148,0.479,13.17,20.663,TRUE
131_6,-7.504,2552,70,960.329,1085.469,392,1.148,0.489,13.138,20.642,TRUE
131_7,-7.48,2594,64,956.06,1099.55,390,1.148,0.402,13.17,20.65,TRUE
132,-7.376,2653,129,1219.009,1292.143,389,1.148,0.498,13.294,20.67,TRUE
132_1,-7.759,3704,158,1216.229,1234.446,393,1.148,0.411,13.216,20.975,TRUE
132_10,-7.307,2513,139,970.599,1414.248,385,1.147,0.374,13.258,20.565,TRUE
132_11,-7.937,2970,166,943.79,1080.318,397,1.148,0.439,13.265,21.202,TRUE
132_12,-7.348,2332,131,889.083,1187.713,390,1.148,0.36,13.245,20.593,TRUE
132_13,-7.346,2611,114,874.956,1121.489,390,1.148,2.129,13.218,20.564,TRUE
132_2,-7.357,2514,116,1172.919,981.507,386,1.149,1.564,13.223,20.58,TRUE
132_3,-7.301,2578,38,1093.97,1118.569,431,1.148,0.395,13.223,20.524,TRUE
132_4,-7.622,2343,89,1079.211,1063.78,393,1.148,0.396,13.295,20.917,TRUE
132_5,-8.258,9328,120,1077.27,1115.304,432,1.148,0.376,13.281,21.539,TRUE
132_6,-7.755,2683,139,1064.865,1073.918,405,1.148,0.406,13.2,20.955,TRUE
132_7,-7.383,2428,109,1037.47,1272.931,392,1.147,0.422,13.264,20.647,TRUE
132_8,-7.343,2712,55,994.858,1227.134,399,1.148,0.34,13.255,20.598,TRUE
132_9,-7.475,2574,57,993.146,1154.275,398,1.148,0.427,13.259,20.734,TRUE
133,-7.296,2403,56,1161.188,1214.295,397,1.148,0.364,13.316,20.612,TRUE
133_1,-7.249,2281,71,1118.714,1169.845,396,1.148,0.444,13.372,20.621,TRUE
133_2,-7.386,2176,125,1091.217,1418.582,386,1.147,0.516,13.329,20.715,TRUE
133_3,-7.402,2029,51,1013.684,1243.218,387,1.148,0.404,13.394,20.796,TRUE
133_4,-9.102,10617,286,993.39,1092.952,404,1.148,0.754,13.395,22.497,TRUE
133_5,-7.257,2565,111,863.637,1127.347,391,1.148,0.358,13.363,20.62,TRUE
134,-7.085,1837,110,1274.138,1067.071,389,1.149,1.297,13.486,20.571,TRUE
134_1,-7.076,2026,91,1245.171,1157.842,396,1.148,1.417,13.409,20.485,TRUE
134_2,-7.082,1955,63,1162.07,1191.71,401,1.148,1.49,13.427,20.509,TRUE
134_3,-7.576,2326,47,1117.724,1258.931,406,1.148,0.416,13.4,20.976,TRUE
134_4,-7.123,2258,121,1112.867,1344.137,388,1.147,0.416,13.472,20.595,TRUE
134_5,-7.888,2326,70,1114.647,1257.879,403,1.148,0.381,13.407,21.295,TRUE
134_6,-7.158,2343,110,1075.831,1300.616,395,1.147,0.391,13.455,20.613,TRUE
134_7,-7.214,2326,126,1036.72,1318.173,385,1.147,0.395,13.429,20.643,TRUE
134_8,-7.291,2069,115,1031.203,1372.914,387,1.147,0.499,13.412,20.703,TRUE
135,-6.953,2081,77,1187.688,1073.249,393,1.148,1.718,13.564,20.517,TRUE
135_1,-7.062,2012,98,1170.95,1052.802,394,1.148,0.331,13.512,20.574,TRUE
135_2,-7.214,1931,38,1066.286,1245.759,402,1.148,0.456,13.584,20.798,TRUE
135_3,-7.201,2022,42,1029.3,1106.261,416,1.148,0.416,13.514,20.715,TRUE
135_4,-7.514,2022,66,1024.138,1105.254,403,1.148,0.398,13.573,21.087,TRUE
135_5,-7.268,1984,52,1007.803,1216.818,398,1.148,0.393,13.535,20.803,TRUE
135_6,-7.034,2097,92,987.46,1263.495,393,1.147,0.429,13.528,20.562,TRUE
135_7,-7.132,1936,66,980.332,1237.033,397,1.147,0.429,13.511,20.643,TRUE
