jd,V_mag,err,grade
2451920.87,10.675,0.033,A
2451930.86,10.256,0.027,A
2451932.871,10.217,0.034,A
2451935.867,10.358,0.049,B
2452133.529,10.694,0.026,A
2452140.48,10.322,0.035,B
2452498.519,10.215,0.034,B
2452502.513,10.363,0.035,B
2452503.527,10.282,0.046,B
2452509.526,10.506,0.038,B
2452511.503,10.6,0.037,B
2452520.501,10.606,0.023,A
2452654.877,10.403,0.031,A
2452667.861,10.702,0.029,A
2452678.865,10.329,0.025,A
2452685.837,10.978,0.028,A
2452685.837,10.477,0.028,A
2452688.839,10.505,0.027,A
2452690.881,10.65,0.029,A
2452694.813,10.709,0.03,A
2452696.867,10.836,0.025,A
2452696.867,10.762,0.025,A
2452697.882,10.76,0.025,A
2452699.882,10.676,0.026,A
2452702.834,10.14,0.024,A
2452704.838,10.295,0.023,A
2452706.824,10.408,0.023,A
2452712.808,10.445,0.022,A
2452714.799,10.533,0.023,A
2452717.807,10.824,0.03,B
2452717.807,10.697,0.03,B
2452721.851,10.819,0.03,A
2452723.793,11.219,0.032,A
2452723.793,10.814,0.032,A
2452725.773,10.676,0.024,A
2452727.791,10.27,0.028,A
2452731.88,10.344,0.027,A
2452734.743,10.43,0.024,A
2452736.75,10.494,0.024,A
2452740.765,10.65,0.023,A
2452740.765,10.533,0.023,A
2452742.725,10.625,0.025,A
2452744.739,10.652,0.05,B
2452749.802,10.761,0.025,A
2452751.707,10.604,0.025,A
2452754.71,10.191,0.024,A
2452755.855,10.999,0.022,A
2452755.855,10.287,0.022,A
2452757.706,10.38,0.024,A
2452759.739,10.442,0.023,A
2452761.69,10.432,0.028,A
2452763.686,10.511,0.025,A
2452766.76,10.516,0.024,A
2452787.74,10.394,0.025,A
2452791.578,10.61,0.031,A
2452791.578,10.49,0.031,A
2452794.64,10.665,0.027,A
2452808.642,10.332,0.024,A
2452810.597,10.437,0.023,A
2452811.744,10.388,0.025,A
2452813.673,10.442,0.024,A
2452820.705,10.66,0.024,A
2452824.668,10.765,0.051,B
2452831.55,10.137,0.025,A
2452832.671,10.226,0.024,A
2452834.57,10.36,0.024,A
2452835.667,10.418,0.025,A
2452838.65,10.437,0.023,A
2452841.612,10.487,0.024,A
2452843.58,10.558,0.035,A
2452851.586,11.191,0.023,A
2452851.586,10.806,0.023,A
2452858.535,10.224,0.023,A
2452859.6,10.345,0.025,A
2452861.59,10.382,0.025,A
2452865.539,10.45,0.027,A
2452867.591,10.445,0.024,A
2452875.553,10.816,0.027,A
2452877.547,11.219,0.024,A
2452877.547,10.808,0.024,A
2452879.55,10.766,0.023,A
2452885.487,10.291,0.026,A
2452892.502,10.434,0.026,A
2452895.493,10.526,0.023,A
2452898.492,10.628,0.024,A
2452900.487,10.691,0.022,A
2452904.481,10.719,0.026,A
2453035.87,10.429,0.029,A
2453043.842,10.386,0.036,A
2453052.891,10.641,0.026,A
2453056.859,10.7,0.027,A
2453060.862,10.524,0.025,A
2453064.828,10.31,0.029,A
2453068.815,10.478,0.031,A
2453071.823,10.494,0.032,A
2453076.872,10.626,0.026,A
2453079.82,10.738,0.041,B
2453082.806,10.734,0.042,B
2453086.825,10.53,0.029,A
2453089.789,10.136,0.043,B
2453091.832,10.294,0.053,B
2453096.815,10.478,0.055,B
2453098.806,10.471,0.026,A
2453100.795,10.52,0.03,A
2453103.801,10.688,0.032,A
2453105.787,10.734,0.037,A
2453107.79,10.737,0.027,A
2453109.831,10.722,0.023,A
2453112.726,10.405,0.039,B
2453114.766,10.145,0.025,A
2453116.793,10.361,0.024,A
2453121.748,10.418,0.026,A
2453131.725,10.766,0.025,A
2453133.728,10.782,0.026,A
2453144.743,10.393,0.025,A
2453153.657,10.579,0.022,A
2453158.695,10.804,0.033,A
2453160.708,10.79,0.032,A
2453163.723,10.55,0.024,A
2453165.741,10.094,0.032,A
2453168.756,10.355,0.023,A
2453171.71,10.402,0.028,A
2453175.698,10.425,0.025,A
2453178.57,10.542,0.024,A
2453186.575,10.801,0.028,A
2453189.609,10.535,0.027,A
2453405.858,10.387,0.031,A
2453409.86,10.552,0.028,A
2453417.857,10.918,0.033,A
2453417.857,10.787,0.033,A
2453421.848,10.315,0.033,A
2453424.888,10.164,0.032,A
2453432.901,10.409,0.033,A
2453436.848,10.884,0.031,A
2453436.848,10.574,0.031,A
2453443.844,10.757,0.029,A
2453446.817,10.427,0.034,B
2453452.821,10.443,0.038,A
2453452.821,10.43,0.025,A
2453454.836,10.388,0.04,B
2453456.819,10.454,0.03,A
2453459.827,10.687,0.027,A
2453459.827,10.53,0.027,A
2453462.772,10.625,0.029,A
2453464.814,10.756,0.049,B
2453464.814,10.779,0.049,B
2453467.766,10.807,0.029,A
2453470.747,10.751,0.031,A
2453470.747,10.782,0.031,A
2453472.795,10.467,0.025,A
2453475.736,10.188,0.037,A
2453477.772,10.256,0.039,B
2453479.768,10.306,0.034,A
2453481.75,10.336,0.027,A
2453483.751,10.473,0.043,B
2453487.738,10.538,0.042,B
2453490.741,10.73,0.041,B
2453492.73,10.718,0.031,A
2453496.724,10.819,0.026,A
2453496.724,10.751,0.026,A
2453499.722,10.179,0.038,A
2453501.768,10.241,0.046,B
2453504.663,10.406,0.045,B
2453508.709,10.438,0.024,A
2453511.642,10.526,0.027,A
2453511.642,10.523,0.027,A
2453515.676,10.703,0.029,A
2453517.659,10.658,0.026,A
2453520.795,10.742,0.046,B
2453522.724,10.763,0.029,A
2453522.724,10.754,0.029,A
2453524.751,10.32,0.038,A
2453526.774,10.113,0.039,B
2453529.587,10.313,0.033,B
2453547.654,10.857,0.031,B
2453547.654,10.725,0.031,B
2453554.635,10.332,0.026,A
2453556.693,10.385,0.03,A
2453562.535,10.468,0.031,A
2453564.542,10.554,0.026,A
2453564.542,10.563,0.026,A
2453569.612,10.711,0.027,A
2453571.653,10.776,0.028,A
2453575.533,10.425,0.03,A
2453577.591,10.155,0.028,A
2453583.591,10.478,0.038,B
2453586.52,10.527,0.041,B
2453586.52,10.49,0.041,B
2453588.557,10.45,0.032,A
2453591.499,10.581,0.039,B
2453600.557,10.662,0.047,B
2453602.557,10.17,0.029,A
2453604.569,10.195,0.034,A
2453608.55,10.573,0.03,A
2453608.55,10.352,0.03,A
2453617.513,10.596,0.029,A
2453628.504,10.528,0.029,A
2453628.504,10.176,0.029,A
2453631.49,10.314,0.032,A
2453634.481,10.404,0.034,A
2453761.874,10.433,0.03,A
2453765.869,10.477,0.031,A
2453770.876,10.585,0.04,A
2453774.859,10.706,0.035,A
2453789.857,10.384,0.031,A
2453793.835,10.717,0.031,A
2453793.835,10.468,0.031,A
2453796.854,10.572,0.036,B
2453796.854,10.559,0.036,B
2453799.86,10.674,0.034,A
2453802.875,10.689,0.045,B
2453805.832,10.659,0.032,A
2453808.84,10.19,0.031,A
2453811.82,10.276,0.041,B
2453814.851,10.42,0.039,B
2453817.794,10.472,0.03,A
2453820.785,10.739,0.033,A
2453820.785,10.506,0.033,A
2453823.777,10.684,0.033,A
2453825.825,10.734,0.036,A
2453828.766,10.734,0.034,A
2453828.766,10.709,0.034,A
2453831.757,10.552,0.031,A
2453833.796,10.184,0.041,B
2453837.793,10.492,0.034,A
2453847.861,10.524,0.046,B
2453849.79,10.702,0.037,B
2453852.708,10.821,0.026,A
2453852.708,10.704,0.026,A
2453854.743,10.706,0.039,A
2453856.782,10.672,0.032,A
2453859.688,10.169,0.054,B
2453861.716,10.233,0.027,A
2453863.717,10.339,0.039,B
2453865.702,10.439,0.041,B
2453869.704,10.392,0.034,A
2453871.694,10.465,0.034,B
2453874.788,10.583,0.031,A
2453877.641,10.766,0.034,B
2453880.669,10.727,0.035,A
2453880.669,10.799,0.035,A
2453882.69,10.652,0.029,A
2453886.691,10.162,0.03,A
2453890.661,10.437,0.026,A
2453892.636,10.438,0.051,B
2453896.63,10.443,0.032,A
2453898.661,10.54,0.035,B
2453900.678,10.644,0.031,A
2453902.695,10.651,0.028,A
2453904.723,10.802,0.041,B
2453906.728,10.727,0.035,B
2453909.683,10.496,0.035,B
2453913.682,10.279,0.04,B
2453981.51,10.766,0.038,A
2453981.51,10.694,0.038,A
2454128.875,10.507,0.029,A
2454136.862,10.919,0.033,A
2454136.862,10.704,0.033,A
2454143.852,10.082,0.032,A
2454151.857,10.381,0.05,B
2454151.866,10.494,0.038,A
2454158.848,10.88,0.032,A
2454161.854,10.691,0.028,A
2454173.836,10.473,0.041,B
2454179.843,10.497,0.032,A
2454180.802,10.413,0.036,A
2454182.795,10.631,0.036,B
2454185.786,10.75,0.031,A
2454189.757,10.773,0.028,A
2454191.791,10.67,0.029,A
2454200.782,10.438,0.027,A
2454203.779,10.427,0.029,A
2454208.868,10.538,0.041,B
2454212.882,10.729,0.038,A
2454215.825,10.662,0.048,B
2454227.717,10.444,0.029,A
2454227.724,10.538,0.047,B
2454229.72,10.428,0.026,A
2454233.727,10.586,0.037,A
2454235.724,10.652,0.03,A
2454246.795,10.17,0.03,A
2454251.8,10.432,0.04,B
2454256.714,10.433,0.029,A
2454267.606,10.7,0.028,A
2454269.635,10.431,0.03,A
2454272.599,10.645,0.028,A
2454272.599,10.154,0.028,A
2454274.61,10.362,0.045,B
2454283.622,10.531,0.036,B
2454285.618,10.593,0.03,A
2454289.619,10.74,0.029,A
2454291.623,10.793,0.033,B
2454293.613,10.645,0.054,B
2454295.621,10.456,0.027,A
2454297.616,10.114,0.036,A
2454299.586,10.253,0.049,B
2454301.553,10.331,0.032,B
2454306.506,10.46,0.035,A
2454308.582,10.481,0.046,B
2454311.567,10.616,0.03,A
2454316.601,11.01,0.046,B
2454316.601,10.76,0.046,B
2454329.556,10.445,0.035,B
2454333.496,10.483,0.028,A
2454336.555,10.642,0.029,A
2454340.497,10.787,0.045,B
2454349.487,10.788,0.033,A
2454349.487,10.093,0.033,A
2454351.528,10.227,0.037,B
2454355.488,10.386,0.033,A
2454361.491,10.532,0.028,A
2454493.878,10.699,0.029,A
2454500.885,10.567,0.038,A
2454504.879,10.194,0.028,A
2454508.872,10.39,0.031,A
2454517.861,10.576,0.033,A
2454520.871,11.036,0.033,A
2454520.871,10.68,0.033,A
2454525.828,10.629,0.03,A
2454528.852,10.148,0.032,A
2454531.845,10.33,0.035,A
2454535.857,10.428,0.029,A
2454541.816,10.579,0.027,A
2454546.827,10.769,0.038,B
2454548.829,10.787,0.031,A
2454551.834,10.542,0.038,B
2454554.775,10.092,0.034,A
2454559.767,10.371,0.027,A
2454561.836,10.382,0.03,A
2454564.764,10.677,0.027,A
2454564.764,10.468,0.027,A
2454566.842,10.514,0.03,A
2454569.742,10.941,0.029,A
2454569.742,10.628,0.029,A
2454571.763,10.659,0.031,A
2454573.755,10.754,0.029,A
2454575.757,10.782,0.032,A
2454579.759,10.173,0.032,A
2454582.753,10.274,0.03,A
2454585.799,10.394,0.036,A
2454588.688,10.405,0.033,A
2454590.763,10.48,0.033,A
2454592.84,10.503,0.034,B
2454594.767,10.722,0.028,A
2454596.786,10.923,0.03,A
2454596.786,10.664,0.03,A
2454599.661,10.784,0.034,A
2454601.695,10.798,0.029,A
2454606.687,10.164,0.04,B
2454609.628,10.332,0.029,A
2454611.668,10.352,0.029,A
2454616.648,10.467,0.026,A
2454621.785,10.71,0.049,B
2454626.594,10.711,0.031,A
2454633.678,10.345,0.036,A
2454639.593,10.424,0.029,A
2454641.629,10.389,0.032,A
2454643.63,10.489,0.034,B
2454645.639,10.695,0.035,B
2454647.705,10.656,0.029,A
2454649.702,10.703,0.035,A
2454652.55,10.803,0.032,A
2454654.545,10.639,0.032,A
2454656.557,10.297,0.029,A
2454661.535,10.349,0.031,A
2454663.604,10.329,0.034,A
2454666.551,10.422,0.029,A
2454671.648,10.609,0.026,A
2454674.536,10.688,0.028,A
2454683.487,10.129,0.03,A
2454690.548,10.393,0.028,A
2454694.519,10.433,0.035,A
2454698.518,10.656,0.035,B
2454700.528,10.794,0.034,B
2454702.553,10.753,0.032,A
2454704.538,10.734,0.031,A
2454708.528,10.206,0.032,A
2454711.501,10.257,0.031,A
2454716.509,10.415,0.029,A
2454721.502,11.231,0.034,A
2454721.502,10.851,0.034,A
2454725.498,10.649,0.037,A
2454728.484,10.734,0.033,A
2454853.873,10.644,0.035,A
2454865.883,10.308,0.037,A
2454884.842,10.709,0.039,A
2454888.845,10.163,0.044,B
2454892.832,10.376,0.035,A
2454898.901,10.419,0.045,B
2454902.854,10.542,0.043,B
2454906.864,10.646,0.047,B
2454909.807,10.708,0.042,B
2454914.842,10.095,0.048,B
2454917.809,10.341,0.04,B
2454920.782,10.62,0.045,B
2454920.782,10.469,0.045,B
2454924.891,10.718,0.043,B
2454924.891,10.441,0.043,B
2454928.8,10.668,0.051,B
2454937.733,10.779,0.041,B
2454939.801,10.103,0.047,B
2454945.783,10.4,0.039,B
2454948.708,10.421,0.038,A
2454955.723,10.642,0.04,B
2454961.717,10.681,0.047,B
2454966.685,10.176,0.042,B
2454968.736,10.322,0.04,B
2454984.656,10.946,0.045,B
2454984.656,10.72,0.045,B
2454994.663,10.237,0.055,B
2455006.664,10.598,0.048,B
2455009.573,10.621,0.048,B
2455012.609,10.697,0.048,B
2455019.625,10.321,0.044,B
2455021.641,10.397,0.041,B
2455023.642,10.425,0.038,B
2455025.652,10.497,0.047,B
2455029.667,10.506,0.037,A
2455047.614,10.36,0.043,B
2455049.617,10.459,0.044,B
2455057.511,10.583,0.042,B
2455066.527,10.566,0.05,B
2455080.493,10.507,0.042,B
2455085.494,10.739,0.056,B
2455088.492,10.806,0.05,B