star_id,Period,log_P,V_mag,E(B-V),V0,R0,(V-R)0,Wv,Mv
12.10318.52,8.24,0.916,17.07,0.15,16.61,16.32,0.291,15.01,-1.89
81.8756.207,9.309,0.969,17.17,0.12,16.8,16.45,0.348,14.89,-1.7
1.3812.61,9.387,0.973,16.31,0.13,15.9,15.72,0.182,14.9,-2.6
10.4040.38,9.622,0.983,16.51,0.14,16.08,15.88,0.198,14.99,-2.42
80.6469.135,10.509,1.022,17.05,0.09,16.77,16.37,0.394,14.6,-1.73
80.6590.137,11.442,1.058,16.72,0.08,16.47,16.18,0.297,14.84,-2.03
3.7332.39,12.704,1.104,17,0.07,16.79,16.4,0.387,14.66,-1.71
6.6696.72,12.902,1.111,16.86,0.12,16.49,16.15,0.341,14.62,-2.01
10.4162.33,13.246,1.122,16.95,0.14,16.52,16.19,0.329,14.71,-1.98
80.6475.2289,13.925,1.144,16.75,0.08,16.5,16.13,0.37,14.47,-2
81.9006.64,14.337,1.156,16.88,0.09,16.61,16.25,0.358,14.64,-1.89
47.2611.589,14.469,1.16,16.89,0.13,16.49,16.13,0.355,14.54,-2.01
19.4425.231,14.752,1.169,16.16,0.13,15.75,15.53,0.222,14.54,-2.75
2.5877.58,14.855,1.172,17.31,0.11,16.97,16.5,0.464,14.42,-1.53
1.3808.112,14.906,1.173,17.26,0.14,16.82,16.4,0.423,14.5,-1.68
14.8983.1894,15.391,1.187,16.9,0.14,16.46,16.1,0.364,14.46,-2.04
2.5025.39,16.602,1.22,16.58,0.13,16.18,15.87,0.308,14.49,-2.32
9.5117.58,16.747,1.224,16.49,0.14,16.05,15.73,0.318,14.3,-2.45
10.3680.18,17.127,1.234,16.58,0.14,16.15,15.82,0.329,14.34,-2.35
78.6338.24,17.56,1.245,15.68,0.08,15.43,15.19,0.239,14.12,-3.07
2.5026.30,21.486,1.332,16.44,0.13,16.03,15.67,0.361,14.05,-2.47
78.6698.38,24.848,1.395,15.69,0.12,15.25,14.93,0.323,13.48,-3.25
77.7069.213,24.935,1.397,16.57,0.08,16.32,15.9,0.427,13.98,-2.18
82.8041.17,26.594,1.425,15.99,0.08,15.74,15.34,0.399,13.55,-2.76
81.9362.25,30.408,1.483,16.09,0.12,15.72,15.34,0.377,13.65,-2.78
14.9582.9,31.127,1.493,15.48,0.12,15.1,14.84,0.259,13.68,-3.4
19.3694.19,31.716,1.501,15.29,0.13,14.89,14.64,0.248,13.53,-3.61
78.5856.2363,41.118,1.614,15.1,0.12,14.72,14.44,0.288,13.14,-3.78
81.8520.15,42.079,1.624,14.64,0.1,14.33,14.2,0.124,13.65,-4.17
82.8405.15,46.542,1.668,14.26,0.09,13.98,13.77,0.208,12.83,-4.52
81.9728.14,47.019,1.672,14.31,0.1,14,13.74,0.267,12.54,-4.5
79.5501.13,48.539,1.686,14.48,0.12,14.11,13.89,0.215,12.93,-4.39
47.2496.8,56.224,1.75,14.97,0.11,14.63,14.23,0.394,12.46,-3.87