Cluster,ID,RA (J2000),Dec. (J2000),P,φ0,〈J〉,〈H〉,〈Ks〉,ΔJ,ΔH,ΔKs,Nobs,Flag
NGC 1904 ,V8 ,24:11.6,-24:31:38 ,77.2,53046.168,10.36,9.84,9.68,0.38,0.4,0.39,13, 
NGC 2808 ,V10 ,11:56.9,-64:53:23 ,1.7653,53001.125,13.89,13.54,13.43,0.45,0.35,0.46,23* , 
NGC 5139 ,V1 ,26:05.2,-47:23:43 ,29.3479,53013.358,9.4,9.05,8.99,0.81,0.73,0.78,15, 
NGC 5139 ,V29 ,26:27.2,-47:28:48 ,14.7338,53007.097,10.43,10.03,9.93,0.78,0.82,0.85,40, 
NGC 5139 ,V48 ,26:37.8,-47:30:25 ,4.474,53000.367,11.59,11.14,11.15,0.6,0.62,0.76,40* , 
NGC 5272 ,V154 ,42:11.6,+28:22:14 ,15.2842,53003.394,11.45,11.06,10.99,0.77,0.65,0.69,14, 
NGC 5904 ,V42 ,18:24.8,+02:02:53 ,25.738,53020.219,10.16,9.85,9.82,0.7,0.66,0.76,18, 
NGC 5904 ,V84 ,18:36.2,+02:04:16 ,26.87,53018.678,10.2,9.8,9.71,1.08,0.95,0.87,18, 
NGC 5986 ,V13 ,46:00.3,-37:48:23 ,40.62,53009.38,10.9,10.22,10.07,0.23,0.21,0.2,15,n 
NGC 6093 ,V1 ,17:04.2,-22:58:54 ,16.304,53004.337,11.65,11.23,11.1,0.83,0.78,0.8,16, 
NGC 6218 ,V1 ,47:16.7,-01:57:59 ,15.48,53007.412,10.24,9.79,9.64,0.64,0.61,0.57,20* , 
NGC 6254 ,V1 ,57:10.1,-04:05:36 ,48.95,53022.311,9.07,8.42,8.23,0.34,0.33,0.34,18* , 
NGC 6254 ,V2 ,57:11.7,-04:04:00 ,18.7226,53013.656,10.05,9.61,9.47,0.9,0.94,0.88,18* , 
NGC 6254 ,V3 ,56:56.0,-04:04:16 ,7.831,53007.484,11.02,10.55,10.36,0.45,0.5,0.58,18* , 
NGC 6256 ,V1 ,59:35.0,-37:07:23 ,12.447,53004.719,11.86,11.15,10.85,0.73,0.6,0.59,30* ,n 
NGC 6266 ,V2 ,01:11.0,-30:07:59 ,10.609,53009.157,11.22,10.64,10.53,0.76,0.63,0.6,28* , 
NGC 6273 ,V1 ,02:38.2,-26:15:12 ,16.92,53013.006,11.37,10.88,10.75,0.76,0.72,0.71,17, 
NGC 6273 ,V2 ,02:38.9,-26:13:57 ,14.138,53013.84,11.53,11.06,10.92,0.82,0.74,0.72,17, 
NGC 6273 ,V4 ,02:37.6,-26:16:32 ,2.4326,53000.138,13.28,12.85,12.77,0.49,0.47,0.47,17, 
NGC 6284 ,V1 ,04:26.9,-24:45:22 ,4.4812,53001.75,13.68,13.24,13.18,0.38,0.41,0.43,24, 
NGC 6284 ,V4 ,04:30.3,-24:46:14 ,2.8187,53000.533,14.15,13.71,13.67,0.64,0.52,0.56,24, 
NGC 6293 ,V2 ,09:59.8,-26:33:56 ,1.1817,53000.392,14.26,13.81,13.71,0.34,0.25,0.47,16, 
NGC 6325 ,V1 ,18:02.5,-23:45:45 ,12.516,53003.662,11.97,11.25,11.02,0.34,0.36,0.36,24* ,n 
NGC 6325 ,V2 ,17:57.8,-23:46:36 ,10.744,53006.2,12.14,11.43,11.22,0.24,0.26,0.24,24,n 
HP 1 ,V16 ,31:08.7,-30:00:22 ,16.4,53008.704,11.77,10.99,10.7,0.85,0.81,0.79,16,n 
HP 1 ,V17 ,31:05.7,-29:59:26 ,14.42,53004.212,11.91,11.09,10.78,0.67,0.59,0.61,16,n 
Terzan 1 ,V5 ,35:46.1,-30:29:03 ,18.85,53012.467,11.97,10.93,10.61,0.78,0.72,0.7,22,n 
NGC 6402 ,V1 ,37:37.4,-03:14:00 ,18.743,53009.449,11.63,11.1,10.89,0.85,0.8,0.79,10, 
NGC 6402 ,V2 ,37:28.6,-03:16:45 ,2.7947,53000.084,13.45,12.98,12.85,0.52,0.52,0.54,10, 
NGC 6402 ,V7 ,37:40.4,-03:16:21 ,13.599,53012.541,12.04,11.46,11.29,0.62,0.56,0.55,10, 
NGC 6402 ,V76 ,37:29.3,-03:14:45 ,1.8901,53001.785,13.78,13.3,13.16,0.36,0.3,0.38,10, 
NGC 6441 ,V6 ,50:15.6,-37:02:16 ,22.47,53010.927,12.16,11.64,11.49,0.93,0.99,0.97,16, 
NGC 6441 ,V129 ,50:12.9,-37:03:18 ,17.832,53001.523,12.14,11.61,11.65,0.5,0.8,0.81,16* , 
NGC 6453 ,V1 ,50:52.1,-34:36:05 ,31.07,53023.985,11.51,10.85,10.66,0.7,0.62,0.62,14,n 
NGC 6453 ,V2 ,50:53.0,-34:35:09 ,27.21,53016.521,11.35,10.75,10.59,0.76,0.67,0.69,14,n 
NGC 6569 ,V16 ,13:37.7,-31:49:13 ,87.5,53081.285,10.56,9.74,9.45,0.69,0.62,0.53,34* , 
NGC 6626 ,V4 ,24:30.1,-24:51:37 ,13.458,53005.162,10.78,10.18,10.01,0.68,0.52,0.49,24* , 
NGC 6626 ,V17 ,24:35.8,-24:53:16 ,48,53028.399,9.55,8.95,8.75,0.84,0.84,0.84,24, 
NGC 6749 ,V1 ,05:20.0,+01:55:57 ,4.481,53003.02,13.38,12.62,12.34,0.38,0.44,0.44,16,n 
NGC 6779 ,V1 ,16:39.3,+30:12:17 ,1.51,53000.19,13.99,13.66,13.57,0.4,0.35,0.44,9* , 
NGC 6779 ,V6 ,16:35.8,+30:11:39 ,45,53033.934,10.86,10.37,10.21,0.86,0.75,0.75,9, 
NGC 7078 ,V86 ,29:59.2,+12:10:07 ,16.8,53009.52,11.7,11.32,11.19,0.84,0.83,0.74,13, 
NGC 7089 ,V1 ,33:28.5,-00:47:55 ,15.568,53008.36,11.93,11.54,11.45,0.76,0.73,0.7,18, 
NGC 7089 ,V5 ,33:23.8,-00:49:13 ,17.555,53000.597,11.8,11.4,11.31,0.75,0.71,0.71,18, 
NGC 7089 ,V6 ,33:27.5,-00:50:00 ,19.36,53005.973,11.72,11.33,11.25,0.86,0.79,0.8,18, 
NGC 7089 ,V11 ,33:32.4,-00:49:06 ,33.4,53024.763,10.87,10.53,10.44,0.63,0.58,0.62,18,