2452763.599,11.154,0.004
2452763.601,11.139,0.004
2452782.653,10.873,0.005
2452782.655,10.886,0.003
2452796.654,11.716,0.004
2452796.655,11.693,0.003
2452800.661,11.907,0.007
2452800.665,11.892,0.005
2452811.77,11.048,0.005
2452812.653,11.046,0.005
2452813.655,11.08,0.006
2452814.64,11.1,0.01
2452815.665,11.208,0.003
2452815.67,11.208,0.004
2452821.624,11.711,0.009
2452821.629,11.72,0.008
2452823.632,11.788,0.005
2452835.668,10.948,0.003
2452839.648,11.078,0.004
2452844.62,11.436,0.003
2452844.622,11.435,0.004
2452844.624,11.411,0.007
2452845.619,11.512,0.006
2452849.664,11.87,0.006
2452864.599,10.992,0.005
2452870.618,11.446,0.005
2452871.59,11.541,0.007
2452872.605,11.696,0.007
2453144.671,11.033,0.004
2453146.629,11.088,0.009
2453153.628,11.595,0.005
2453159.627,11.938,0.006
2453160.626,11.991,0.008
2453171.634,11.069,0.01
2453171.711,11.135,0.005
2453172.626,11.111,0.004
2453174.62,11.156,0.004
2453176.622,11.163,0.003
2453177.671,11.249,0.004
2453179.65,11.496,0.003
2453185.665,11.956,0.003
2453185.668,11.95,0.003
2453185.669,12.155,0.03
2453186.627,11.988,0.009
2453187.619,11.922,0.011
2453188.619,11.663,0.006
2453194.623,10.942,0.012
2453201.621,11.218,0.009
2453202.705,11.295,0.008
2453205.609,11.471,0.006
2453212.624,11.884,0.01
2453213.623,11.775,0.012
2453214.62,11.496,0.011
2453215.656,10.909,0.01
2453216.622,10.607,0.013
2453223.61,11.07,0.004
2453522.585,11.727,0.005
2453523.579,11.408,0.005
2453523.581,11.417,0.005
2453859.609,10.657,0.006
2453860.619,10.508,0.004
2453883.589,11.316,0.008
2453884.652,10.884,0.012
2453884.671,10.755,0.019
2453935.617,11.176,0.004
2453936.621,10.678,0.005
2453937.603,10.53,0.006
2453940.588,10.784,0.007
2453942.645,10.921,0.006
2453943.586,10.905,0.009
2453951.615,11.395,0.004