jd,mag,err
2459310.724,13.617,0.023
2459311.669,13.489,0.028
2459312.706,13.281,0.019
2459315.613,13.107,0.023
2459315.657,13.042,0.016
2459315.695,13.048,0.017
2459316.618,13.089,0.017
2459316.663,13.003,0.014
2459316.707,12.983,0.015
2459317.719,12.927,0.014
2459318.709,12.907,0.015
2459319.615,12.883,0.015
2459320.708,12.931,0.015
2459322.612,12.994,0.015
2459323.608,12.953,0.015
2459324.606,12.967,0.016
2459324.635,12.975,0.015
2459324.665,12.99,0.018
2459334.658,13.387,0.024
2459340.653,13.491,0.023
2459344.613,13.558,0.024
2459345.613,13.661,0.025
2459352.641,13.89,0.037
2459360.568,14.189,0.046
2459361.564,14.229,0.049
2459368.563,14.473,0.046
2459374.563,14.516,0.051
2459376.559,14.525,0.051
2459377.553,14.556,0.051
2459379.556,14.556,0.05